year,donor_code,donor,currency,value,prices,iso_code
2020,2,Belgium,usd,143.9802709,constant,BEL
2018,55,Turkey,usd,23.66013988,constant,TUR
2016,4,France,usd,529.95118,constant,FRA
2011,7,Netherlands,usd,478.1481956,constant,NLD
2021,18,Finland,usd,68.77,constant,FIN
2017,69,Slovak Republic,usd,1.526966388,constant,SVK
2013,22,Luxembourg,usd,0.362696976,constant,LUX
2018,302,United States,usd,1736.742737,constant,USA
2011,21,Ireland,usd,0.274094104,constant,IRL
2011,4,France,usd,513.6574135,constant,FRA
2013,10,Sweden,usd,633.9595755,constant,SWE
2016,20,Iceland,usd,17.41531488,constant,ISL
2017,40,Greece,usd,72.72335153,constant,GRC
2013,55,Turkey,usd,61.87532146,constant,TUR
2021,77,Romania,usd,0.45,constant,ROU
2015,10,Sweden,usd,2682.988817,constant,SWE
2015,83,Latvia,usd,0.430682513,constant,LVA
2021,84,Lithuania,usd,1.91,constant,LTU
2018,820,New Zealand,usd,18.74670153,constant,NZL
2021,10,Sweden,usd,87.91,constant,SWE
2016,6,Italy,usd,1878.081186,constant,ITA
2014,18,Finland,usd,15.82006315,constant,FIN
2011,55,Turkey,usd,151.612572,constant,TUR
2016,301,Canada,usd,474.1836386,constant,CAN
2013,12,United Kingdom,usd,52.30729156,constant,GBR
2020,40,Greece,usd,85.60664237,constant,GRC
2016,5,Germany,usd,7787.297651,constant,DEU
2013,302,United States,usd,1134.200793,constant,USA
2021,50,Spain,usd,223.23,constant,ESP
2012,11,Switzerland,usd,661.2766609,constant,CHE
2015,61,Slovenia,usd,8.408204058,constant,SVN
2019,40,Greece,usd,144.5463052,constant,GRC
2011,11,Switzerland,usd,513.8122332,constant,CHE
2015,75,Hungary,usd,11.7355184,constant,HUN
2017,2,Belgium,usd,358.5036704,constant,BEL
2018,77,Romania,usd,0.490692163,constant,ROU
2014,820,New Zealand,usd,19.51524712,constant,NZL
2016,1,Austria,usd,691.828919,constant,AUT
2015,69,Slovak Republic,usd,2.044268743,constant,SVK
2018,50,Spain,usd,287.2073164,constant,ESP
2021,21,Ireland,usd,50.29,constant,IRL
2017,701,Japan,usd,0.298997263,constant,JPN
2015,301,Canada,usd,251.3688703,constant,CAN
2014,50,Spain,usd,17.67837078,constant,ESP
2021,72,Bulgaria,usd,6.5,constant,BGR
2020,83,Latvia,usd,1.063836363,constant,LVA
2020,69,Slovak Republic,usd,1.028998097,constant,SVK
